influencee,influencer,keyword
fool,death,opposing
fool,devil,opposing
fool,2 of swords,opposing
fool,4 of coins,opposing
fool,hanged man,reinforcing
fool,star,reinforcing
fool,judgment,reinforcing
fool,3 of wands,reinforcing
magician,high priestess,opposing
magician,hanged man,opposing
magician,7 of cups,opposing
magician,4 of swords,opposing
magician,8 of swords,opposing
magician,chariot,reinforcing
magician,2 of wands,reinforcing
magician,8 of wands,reinforcing
magician,8 of coins,reinforcing
high priestess,magician,opposing
high priestess,2 of wands,opposing
high priestess,7 of wands,opposing
high priestess,8 of wands,opposing
high priestess,hermit,reinforcing
high priestess,hanged man,reinforcing
high priestess,4 of swords,reinforcing
empress,emperor,opposing
empress,death,opposing
empress,4 of coins,opposing
empress,9 of coins,opposing
empress,lovers,reinforcing
empress,star,reinforcing
empress,9 of cups,reinforcing
empress,7 of coins,reinforcing
empress,10 of coins,reinforcing
emperor,empress,opposing
emperor,7 of cups,opposing
emperor,5 of swords,opposing
emperor,hierophant,reinforcing
emperor,justice,reinforcing
emperor,2 of wands,reinforcing
emperor,4 of coins,reinforcing
emperor,3 of wands,reinforcing
hierophant,fool,opposing
hierophant,lovers,opposing
hierophant,2 of wands,opposing
hierophant,7 of swords,opposing
hierophant,2 of coins,opposing
hierophant,emperor,reinforcing
hierophant,3 of cups,reinforcing
hierophant,3 of coins,reinforcing
hierophant,8 of coins,reinforcing
hierophant,10 of coins,reinforcing
lovers,hierophant,opposing
lovers,hermit,opposing
lovers,5 of cups,opposing
lovers,3 of swords,opposing
lovers,empress,reinforcing
lovers,2 of cups,reinforcing
lovers,9 of cups,reinforcing
lovers,10 of cups,reinforcing
lovers,10 of coins,reinforcing
chariot,strength,opposing
chariot,hanged man,opposing
chariot,tower,opposing
chariot,8 of swords,opposing
chariot,10 of swords,opposing
chariot,magician,reinforcing
chariot,2 of wands,reinforcing
chariot,6 of wands,reinforcing
chariot,4 of coins,reinforcing
chariot,9 of coins,reinforcing
strength,chariot,opposing
strength,8 of cups,opposing
strength,6 of swords,opposing
strength,5 of coins,opposing
strength,hanged man,reinforcing
strength,9 of wands,reinforcing
hermit,lovers,opposing
hermit,world,opposing
hermit,2 of cups,opposing
hermit,3 of cups,opposing
hermit,9 of cups,opposing
hermit,high priestess,reinforcing
hermit,4 of cups,reinforcing
hermit,8 of cups,reinforcing
hermit,4 of swords,reinforcing
hermit,7 of swords,reinforcing
wheel of fortune,2 of swords,opposing
wheel of fortune,4 of swords,opposing
wheel of fortune,4 of coins,opposing
wheel of fortune,7 of coins,opposing
wheel of fortune,8 of wands,reinforcing
justice,2 of swords,opposing
justice,5 of swords,opposing
justice,7 of swords,opposing
justice,emperor,reinforcing
justice,judgment,reinforcing
justice,10 of wands,reinforcing
justice,9 of swords,reinforcing
justice,7 of coins,reinforcing
hanged man,magician,opposing
hanged man,chariot,opposing
hanged man,7 of wands,opposing
hanged man,10 of wands,opposing
hanged man,4 of coins,opposing
hanged man,fool,reinforcing
hanged man,high priestess,reinforcing
hanged man,strength,reinforcing
hanged man,4 of swords,reinforcing
hanged man,10 of swords,reinforcing
death,fool,opposing
death,empress,opposing
death,judgment,opposing
death,tower,reinforcing
death,8 of wands,reinforcing
death,5 of cups,reinforcing
death,8 of cups,reinforcing
temperance,tower,opposing
temperance,5 of wands,opposing
temperance,7 of cups,opposing
temperance,5 of swords,opposing
temperance,5 of coins,opposing
temperance,world,reinforcing
temperance,2 of cups,reinforcing
temperance,3 of cups,reinforcing
temperance,2 of coins,reinforcing
temperance,2 of coins,reinforcing
devil,fool,opposing
devil,star,opposing
devil,4 of wands,opposing
devil,6 of cups,opposing
devil,10 of cups,opposing
devil,7 of cups,reinforcing
devil,8 of swords,reinforcing
devil,9 of swords,reinforcing
tower,chariot,opposing
tower,temperance,opposing
tower,star,opposing
tower,6 of wands,opposing
tower,10 of cups,opposing
tower,death,reinforcing
tower,sun,reinforcing
tower,5 of coins,reinforcing
star,devil,opposing
star,tower,opposing
star,moon,opposing
star,2 of swords,opposing
star,9 of swords,opposing
star,fool,reinforcing
star,empress,reinforcing
star,6 of cups,reinforcing
star,10 of cups,reinforcing
moon,star,opposing
moon,sun,opposing
moon,7 of cups,reinforcing
moon,2 of swords,reinforcing
moon,8 of swords,reinforcing
sun,moon,opposing
sun,8 of cups,opposing
sun,6 of swords,opposing
sun,5 of coins,opposing
sun,tower,reinforcing
sun,world,reinforcing
sun,2 of wands,reinforcing
sun,6 of wands,reinforcing
judgment,death,opposing
judgment,5 of cups,opposing
judgment,9 of swords,opposing
judgment,fool,reinforcing
judgment,justice,reinforcing
judgment,7 of coins,reinforcing
world,hermit,opposing
world,4 of cups,opposing
world,5 of wands,opposing
world,temperance,reinforcing
world,sun,reinforcing
world,9 of cups,reinforcing
world,10 of cups,reinforcing
world,10 of coins,reinforcing
